Wirtschaft,2021-03-04 04:02:55,Gefangen in Unterpunkten,False
Wirtschaft,2021-03-04 09:00:44,„Das kann man keinem Händler mehr erklären“,True
Gesellschaft,2021-03-03 23:33:49,Lockdown wird verlängert – mit Öffnungsmöglichkeiten,False
Wirtschaft,2021-03-04 07:36:10,Lufthansa vermeldet Rekordverlust,False
Sport,2021-03-04 09:02:58,Enttäuschte Liebe,True
Wirtschaft,2021-03-04 07:25:52,Fatale Flexibilität,False
Politik,2021-03-03 21:14:42,Was Viktor Orbán verliert,False
Wirtschaft,2021-03-03 18:33:39,Die Botschaft der Bundesbank,True
Finanzen,2021-03-03 16:53:45,Zocken mit Garantie,False
Sport,2021-03-03 13:35:31,Das Scheitern der Großen,False
Wissen,2021-03-03 12:14:11,Wer herrscht hat Recht?,False
Politik,2021-03-03 11:49:52,Ein bisschen Autokratie geht nicht,True
Wirtschaft,2021-03-03 09:46:07,Der nützliche Rat,True
Politik,2021-03-03 07:42:42,Das Merkel-Vakuum,False
Sport,2021-03-04 07:32:00,Wie es nach dem Knall von Bobic jetzt weitergeht,False
Rhein-Main,2021-03-04 07:04:00,Bis aufs Blut,True
Politik,2021-03-04 06:51:52,Die Schweiz, eine Diktatur?,True
Gesellschaft,2021-03-04 09:05:51,Meghan wirft Palast „ständige Falschaussagen“ über sie vor,False
Sport,2021-03-04 08:34:05,Ein Tag in der Zelle und ein harter Vorwurf,False
Politik,2021-03-04 08:03:51,„Als Bürger fühlt man sich im Stich gelassen“,False
Wirtschaft,2021-03-04 07:17:08,Gerichtsprozess um den begehrten Impfstoff,False
Gesellschaft,2021-03-04 07:32:30,Kretschmann schlägt kürzere Schulferien vor,False
Gesellschaft,2021-03-04 05:39:06,Fast 12.000 Neuinfektionen, Inzidenz steigt,False
Sport,2021-03-04 08:20:17,„Ich habe Respekt vor dem Impfstoff“,True
Wirtschaft,2021-03-04 08:22:56,Vonovia verdient in der Corona-Krise mehr,False
Politik,2021-03-04 08:20:19,Ein Urlaubsparadies zäunt sich ab,False
Feuilleton,2021-03-04 08:04:24,Aus Liebe zum Teufel?,False
Wirtschaft,2021-03-04 06:34:13,„Im Büro der Zukunft gelten neue Regeln“,True
Feuilleton,2021-03-04 08:14:17,Vom Ausbruch aus der gehemmten Gesellschaft,True
Feuilleton,2021-03-03 18:16:03,Worauf will die SPD verzichten?,True
Finanzen,2021-03-03 09:12:59,Der Niedergang des Goldpreises,True
Wirtschaft,2021-03-03 13:16:38,„Luftreiniger können Coronaviren fast vollständig ausschalten“,True
Finanzen,2021-03-02 06:02:46,Die süße Verlockung des frühen Ruhestandes,True
Politik,2021-03-04 06:51:52,Die Schweiz, eine Diktatur?,True
Sport,2021-02-26 06:36:13,Ein Netz aus Missbrauch und Menschenhandel,False
Politik,2021-03-03 11:52:03,Thierse erwägt SPD-Austritt,False
Wirtschaft,2021-03-03 13:47:01,Auftritt der Frühjahrskönigin,False
Feuilleton,2021-02-28 16:12:19,Den Raubgräbern knapp entkommen,False
Politik,2021-03-03 07:42:42,Das Merkel-Vakuum,False
Politik,2021-03-03 10:38:39,Der nächste Anschlag auf ein Corona-Testzentrum,False
Wirtschaft,2021-02-28 19:47:18,Einer der gefragtesten Impfstoffe der Welt,False
Wirtschaft,2021-03-03 13:16:38,„Luftreiniger können Coronaviren fast vollständig ausschalten“,True
Politik,2021-03-04 03:37:14,CDU-Politiker Kiesewetter: AfD-Mitglieder sollten Austritt prüfen,False
Politik,2021-03-03 21:40:16,Frankreich tut sich schwer mit der Wahrheit,True
Politik,2021-03-03 23:13:17,Bidens erste Niederlage,True
Politik,2021-03-03 21:49:17,Ungarn setzt beim Impfen auf China und Russland,True
Wirtschaft,2021-03-04 09:17:40,Die Lufthansa erwartet ein harter Sommer,False
Wirtschaft,2021-03-04 09:00:44,„Das kann man keinem Händler mehr erklären“,True
Wirtschaft,2021-03-03 18:33:39,Die Botschaft der Bundesbank,True
Wirtschaft,2021-03-03 16:24:21,Ein Lego-Fan vernetzt die Industrie,True
Wirtschaft,2021-03-03 08:36:59,Deutsches Flugtaxi-Unternehmen sammelt 200 Millionen Euro ein,False
Wirtschaft,2021-03-02 07:47:13,Mittendrin in der Batterie-Revolution,True
Wirtschaft,2021-03-03 07:55:27,Intel soll in Patentstreit rund 2,2 Milliarden Dollar zahlen,False
Finanzen,2021-03-04 09:17:31,Der transatlantische Unterschied,False
Finanzen,2021-03-03 22:44:18,Siemens Energy löst Beiersdorf im Dax ab,False
Finanzen,2021-03-03 20:38:41,Aufstieg und Fall des Lex Greensill,True
Finanzen,2021-03-03 16:28:10,Finanzaufsicht riegelt zum Sparerschutz Bremer Bank ab,False
Feuilleton,2021-03-04 09:12:17,Wem dient schöpferische Zerstörung?,False
Feuilleton,2021-03-03 23:16:26,Die Migration hört eigentlich nie auf,False
Feuilleton,2021-03-03 17:17:12,Für immer Eiscreme,False
Feuilleton,2021-03-03 15:02:40,Fotografien sind unsere Erinnerung,False
Karriere & HochSchule,2021-03-03 15:58:10,Precire findet einen Käufer,False
Karriere & HochSchule,2021-03-03 11:48:17,An seinem Ruf kann man arbeiten,True
Rhein-Main,2021-03-03 13:29:15,Freispruch für Professor nach homophoben Äußerungen,False
Karriere & HochSchule,2021-03-03 08:20:24,Homeoffice-Potential bei weitem nicht ausgeschöpft,False
Rhein-Main,2021-03-03 17:28:58,Kommunalpolitik, ein Ladenhüter?,False
Sport,2021-03-04 09:02:58,Enttäuschte Liebe,True
Sport,2021-03-04 00:26:50,Schrittweise Lockerungen für deutschen Sport,False
Sport,2021-03-03 18:43:01,„Unser Auto ist bislang das schönste“,False
Sport,2021-03-03 20:48:19,„Für mich ist das ein Riesen-Skandal“,False
Gesellschaft,2021-03-04 08:56:52,„Er wird immer älter und ungeduldiger und gefährlicher“,False
Gesellschaft,2021-03-03 17:14:04,„Ich töte deine Familie“,False
Gesellschaft,2021-03-03 18:26:49,Herzogin Camilla: Zustand von Prinz Philip hat sich „leicht verbessert“,False
Gesellschaft,2021-03-03 16:46:48,Empörung über Schwestern von König Felipe VI.,False
Stil,2021-03-03 21:07:55,Irischer Tropfen mit Pfälzer Geschmack,False
Stil,2021-03-03 06:31:41,Fünf Dinge, die als Croupier nerven,False
Stil,2021-03-03 06:03:02,„Unser Körper ist unsere Visitenkarte“,True
Gesellschaft,2021-03-04 09:05:51,Meghan wirft Palast „ständige Falschaussagen“ über sie vor,False
Rhein-Main,2021-03-04 08:58:12,Bouffier bezeichnet Einigung als „Kompromiss“,False
Rhein-Main,2021-03-04 08:10:00,Der Traum von einem Zentrum für Kreative,False
Rhein-Main,2021-03-04 08:42:55,Foulspiel im Kommunalwahlkampf,False
Technik & Motor,2021-03-03 15:03:00,Die Kartonflieger von Frankfurt,False
Technik & Motor,2021-03-03 10:45:47,Panik am Bullauge,True
Technik & Motor,2021-03-02 15:02:10,Mächtig Wirbel,False
Technik & Motor,2021-03-02 10:07:13,Audio Max,True
Wissen,2021-03-04 02:36:58,SpaceX-Rakete explodiert nach erfolgreicher Landung,False
Wissen,2021-03-03 12:14:11,Wer herrscht hat Recht?,False
Wissen,2021-03-03 11:09:51,Wenn der Mann kein Kind zeugen kann,True
Reise,2021-03-02 13:04:48,Der Ruhe die Ruhe lassen,False
Wirtschaft,2021-03-03 11:20:53,Lindt süßt auf neue Art,False
Gesellschaft,2021-03-03 02:02:36,Ein ganzes Jahr ohne Schule,False
Politik,2021-03-02 15:57:12,Mit Selbsttests zurück ins Klassenzimmer,False
Feuilleton,2021-03-03 13:08:14,„Es geht darum, ein Lebensgefühl zu verkaufen“,False
Feuilleton,2021-03-02 13:58:43,Damals am Montmartre,False
Feuilleton,2021-03-01 14:35:07,Einst in der Provence,False
Wirtschaft,2021-03-03 13:47:01,Auftritt der Frühjahrskönigin,False
Rhein-Main,2021-03-03 17:12:34,Beim Mieter wird mit dreierlei Maß gemessen,True
Wirtschaft,2021-02-26 11:49:17,Enteignungs-Initiative in Berlin legt los,False
Fotografie,2021-02-26 10:09:27,Das Glück der Erde,False